block,difficulty,statement_1,statement_2,statement_3,statement_4,true_statements,false_statements,trial_id,n_answers,n_correct_answers,probed_truth_value,n_true_answers,n_false_answers
2,1,1 is the same as 2,2 is the same as 3,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 the different to 3, 3 is different to 1",1,2,1,true,1,1
2,1,1 is the same as 2,2 is different to 3,,,"2 is the same as 1, 3 is different to 2, 1 is different to 3, 3 is different to 1","2 is different to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1",2,2,1,true,1,1
2,1,1 is different to 2,2 is the same as 3,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",3,2,2,false,0,2
2,1,1 is different to 2,2 is the same as 3,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",3,2,1,true,1,1
2,1,1 is the same as 2,2 is the same as 3,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 the different to 3, 3 is different to 1",1,2,1,false,1,1
2,1,1 is the same as 2,2 is the same as 3,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 the different to 3, 3 is different to 1",1,2,2,false,0,2
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",4,3,1,false,2,1
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",5,3,2,false,1,2
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",4,3,1,true,1,2
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",5,3,1,false,2,1
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",5,3,1,true,1,2
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",4,3,2,false,1,2
2,3,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",7,4,2,true,2,2
2,3,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",6,4,3,true,3,1
2,3,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",6,4,2,false,2,2
2,3,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",6,4,1,false,3,1
3,1,1 is more than 2,2 is less than 3,,,"2 is less than 1, 3 is more than 2","2 is more than 1, 3 is less than 2",11,2,2,true,2,0
3,1,1 is more than 2,2 is more than 3,,,"2 is less than 1, 3 is less than 2, 1 is more than 3, 3 is less than 1","2 is more than 1, 3 is more than 2, 1 is less than 3, 3 is more than 1",8,2,2,true,2,0
3,1,1 is more than 2,3 is less than 2,,,"2 is less than 1, 2 is more than 3","2 is more than 1, 2 is less than 3",10,2,1,true,1,1
3,1,1 is more than 2,2 is more than 3,,,"2 is less than 1, 3 is less than 2, 1 is more than 3, 3 is less than 1","2 is more than 1, 3 is more than 2, 1 is less than 3, 3 is more than 1",8,2,2,false,0,2
3,1,1 is more than 2,3 is more than 2,,,"2 is less than 1, 2 is less than 3","2 is more than 1, 2 is more than 3",9,2,1,true,1,1
3,1,1 is less than 2,2 is less than 3,,,"2 is more than 1, 3 is more than 2, 3 is more than 1, 1 is less than 3","2 is less than 1, 3 is less than 2, 3 is less than 1, 1 is more than 3",12,2,2,false,0,2
3,2,1 is less than 2,2 is less than 3,3 is less than 4,,"2 is more than 1, 3 is more than 2, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 3 is less than 2, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",15,3,1,true,1,2
3,2,1 is more than 2,3 is less than 2,3 is more than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",13,3,3,true,3,0
3,2,1 is more than 2,3 is less than 2,3 is more than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",13,3,2,false,1,2
3,2,1 is more than 2,3 is less than 2,3 is more than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",13,3,1,false,2,1
3,2,1 is less than 2,3 is more than 2,4 is more than 3,,"2 is more than 1, 2 is less than 3, 3 is less than 4, 3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 2 is more than 3, 3 is more than 4, 3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",14,3,3,false,0,3
3,2,1 is less than 2,3 is more than 2,4 is more than 3,,"2 is more than 1, 2 is less than 3, 3 is less than 4, 3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 2 is more than 3, 3 is more than 4, 3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",14,3,1,false,2,1
3,3,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1",16,4,2,true,2,2
3,3,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1",17,4,2,false,2,2
3,3,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1",16,4,1,true,1,3
3,3,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1",17,4,1,false,3,1
8,2,1 minus 2,is less than,3 minus 4,2 is the same as 4,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",25,2,1,false,1,1
8,1,1 minus 2,is equal to,3 minus 4,1 is more than 3,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",20,2,2,true,2,0
8,1,1 minus 2,is equal to,3 minus 4,1 is less than 3,"3 is more than 1, 2 is less than 4, 4 is more than 2","3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 2 is the same as 4",21,2,2,true,2,0
8,2,1 minus 2,is more than,3 minus 4,1 is the same as 3,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",23,2,1,false,1,1
8,2,1 plus 2,is less than,3 plus 4,2 is the same as 4,"1 is less than 3, 3 is more than 1, 4 is the same as 2","1 is more than 3, 3 is less than 1, 1 is the same as 3, 3 is the same as 1, 4 is more than 2, 2 is less than 4, 4 is less than 2, 2 is more than 4",24,2,1,false,1,1
8,1,1 plus 2,is equal to,3 plus 4,1 is less than 3,"3 is more than 1, 4 is less than 2, 2 is more than 4","2 is the same as 4, 2 is less than 4, 4 is more than 2, 1 is more than 3, 3 is less than 1",19,2,2,false,0,2
8,2,1 minus 2,is more than,3 minus 4,1 is the same as 3,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",23,3,3,false,0,3
8,1,1 plus 2,is equal to,3 plus 4,1 is more than 3,"3 is less than 1, 4 is more than 2, 2 is less than 4","2 is the same as 4, 2 is more than 4, 4 is less than 2, 1 is less than 3, 3 is more than 1",18,3,2,false,1,2
8,1,1 minus 2,is equal to,3 minus 4,1 is less than 3,"3 is more than 1, 2 is less than 4, 4 is more than 2","3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 2 is the same as 4",21,3,2,false,1,2
8,1,1 minus 2,is equal to,3 minus 4,1 is more than 3,"3 is less than 1, 2 is more than 4, 4 is less than 2","3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 2 is the same as 4",20,3,3,false,0,3
8,2,1 plus 2,is more than,3 plus 4,1 is the same as 3,"2 is more than 4, 4 is less than 2, 3 is the same as 1","2 is less than 4, 4 is more than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",22,3,2,false,1,2
8,1,1 plus 2,is equal to,3 plus 4,1 is more than 3,"3 is less than 1, 4 is more than 2, 2 is less than 4","2 is the same as 4, 2 is more than 4, 4 is less than 2, 1 is less than 3, 3 is more than 1",18,3,3,true,3,0
8,1,1 plus 2,is equal to,3 plus 4,1 is more than 3,"3 is less than 1, 4 is more than 2, 2 is less than 4","2 is the same as 4, 2 is more than 4, 4 is less than 2, 1 is less than 3, 3 is more than 1",18,4,2,false,2,2
8,2,1 minus 2,is more than,3 minus 4,1 is the same as 3,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",23,4,2,false,2,2
8,2,1 minus 2,is more than,3 minus 4,1 is the same as 3,"2 is less than 4, 4 is more than 2, 3 is the same as 1","2 is more than 4, 4 is less than 2, 2 is the same as 4, 4 is the same as 2, 3 is more than 1, 3 is less than 1",23,4,3,true,3,1
8,1,1 minus 2,is equal to,3 minus 4,1 is less than 3,"3 is more than 1, 2 is less than 4, 4 is more than 2","3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 2 is the same as 4",21,4,3,false,1,3
