Notes,block,trial_num,statement_1,statement_2,statement_3,statement_4,statement_5,true_statements,false_statements,ku_statements,probed_truth_value,n_answers,n_true_answers,n_false_answers,n_ku_answers
,1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1 ","2 is opposite to 1, 3 is opposite to 2, 1 the opposite to 3, 3 is opposite to 1","1 is the same as 4, 1 is opposite to 4 ",true,4,1,3,0
Identical to 1 except for question,1,2,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1 ","2 is opposite to 1, 3 is opposite to 2, 1 the opposite to 3, 3 is opposite to 1","1 is the same as 4, 1 is opposite to 4 ",false,6,2,2,2
,1,3,1 is the same as 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1","2 is opposite to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1","1 is the same as 4, 1 is opposite to 4 ",true,4,1,3,0
Identical to 3 except for question,1,4,1 is the same as 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1","2 is opposite to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1","1 is the same as 4, 1 is opposite to 4 ",false,6,2,2,2
,1,5,1 is opposite to 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is opposite to 1, 1 is the same as 3, 3 is the same as 1","3 is the same as 2, 2 is the same as 1, 1 the opposite to 3, 3 is opposite to 1","1 is the same as 4, 1 is opposite to 4 ",true,4,1,3,0
Identical to 5 except for question,1,6,1 is opposite to 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is opposite to 1, 1 is the same as 3, 3 is the same as 1","3 is the same as 2, 2 is the same as 1, 1 the opposite to 3, 3 is opposite to 1","1 is the same as 4, 1 is opposite to 4 ",false,6,2,2,2
,1,7,1 is the same as 2,2 is opposite to 3,3 is the same as 4,,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is opposite to 4, 4 is opposite to 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1","1 is the same as 5, 1 is opposite to 5 ",true,4,1,3,0
Identical to 7 except for question,1,8,1 is the same as 2,2 is opposite to 3,3 is the same as 4,,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is opposite to 4, 4 is opposite to 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1","1 is the same as 5, 1 is opposite to 5 ",false,6,2,2,2
,1,9,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","1 is the same as 5, 1 is opposite to 5 ",true,4,1,3,0
Identical to 9 except for question,1,10,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","1 is the same as 5, 1 is opposite to 5 ",false,6,2,2,2
,1,11,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","1 is the same as 5, 1 is opposite to 5 ",true,4,1,3,0
Identical to 11 except for question,1,12,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","1 is the same as 5, 1 is opposite to 5 ",false,6,2,2,2
,1,13,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,4 is the same as 5,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 2 is opposite to 5, 5 is opposite to 2, 1 is the same as 4, 4 is the same as 1, 1 is the same as 5, 5 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 2 is the same as 5, 5 is the same as 2, 1 is opposite to 4, 4 is opposite to 1, 1 is opposite to 5, 5 is opposite to 1","1 is the same as 6, 1 is opposite to 6 ",true,4,1,3,0
Identical to 13 except for question,1,14,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,4 is the same as 5,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 2 is opposite to 5, 5 is opposite to 2, 1 is the same as 4, 4 is the same as 1, 1 is the same as 5, 5 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 2 is the same as 5, 5 is the same as 2, 1 is opposite to 4, 4 is opposite to 1, 1 is opposite to 5, 5 is opposite to 1","1 is the same as 6, 1 is opposite to 6 ",false,6,2,2,2
,1,15,1 is the same as 2,2 is opposite to 3,3 is the same as 4,4 is opposite to 5,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 1 is opposite to 4, 4 is opposite to 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is opposite to 5, 5 is opposite to 2, 1 is opposite to 5, 5 is opposite to 1","1 is the same as 6, 1 is opposite to 6 ",known unknowns ,4,1,3,0
Identical to 15 except for question,1,16,1 is the same as 2,2 is opposite to 3,3 is the same as 4,4 is opposite to 5,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 1 is opposite to 4, 4 is opposite to 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is opposite to 5, 5 is opposite to 2, 1 is opposite to 5, 5 is opposite to 1","1 is the same as 6, 1 is opposite to 6 ",true,6,2,2,2
"Same as 1, 2",2,17,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1 ","2 is opposite to 1, 3 is opposite to 2, 1 the opposite to 3, 3 is opposite to 1","1 is the same as 4, 1 is opposite to 4 ",false,4,1,2,1
"Same as 1, 2, 17",2,18,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1 ","2 is opposite to 1, 3 is opposite to 2, 1 the opposite to 3, 3 is opposite to 1","1 is the same as 4, 1 is opposite to 4 ",true,4,2,1,1
,2,19,1 is the same as 2,2 is different to 3,,,,"2 is the same as 1, 3 is different to 2, 1 is different to 3, 3 is different to 1","2 is different to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1","1 is the same as 4, 4 is different to 1, 1 is opposite to 3, 3 is opposite to 1",false,4,1,2,1
Same as 20,2,20,1 is the same as 2,2 is different to 3,,,,"2 is the same as 1, 3 is different to 2, 1 is different to 3, 3 is different to 1","2 is different to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1","1 is the same as 4, 4 is different to 1, 1 is opposite to 3, 3 is opposite to 1",true,4,2,1,1
,2,21,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1","1 is the same as 4, 4 is different to 1, 1 is opposite to 3, 3 is opposite to 1",false,4,1,2,1
Same as 22,2,22,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1","1 is the same as 4, 4 is different to 1, 1 is opposite to 3, 3 is opposite to 1",true,4,2,1,1
,2,23,1 is the same as 2,2 is different to 3,3 is the same as 4,,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",,false,4,1,2,1
Same as 23,2,24,1 is the same as 2,2 is different to 3,3 is the same as 4,,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",,false,4,2,1,1
,2,25,1 is the same as 2,2 is the same as 3,3 is different to 4,,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",,true,4,1,2,1
Same as 25,2,26,1 is the same as 2,2 is the same as 3,3 is different to 4,,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",,false,4,2,1,1
,2,27,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",,false,4,1,2,1
Same as 27,2,28,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",,true,4,2,1,1
,2,29,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",,false,4,1,2,1
Same as 29,2,30,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",,false,4,2,1,1
Same as 29,2,31,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",,true,4,1,2,1
Same as 29,2,32,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",,false,4,2,1,1
,3,33,1 is more than 2,2 is more than 3,,,,"2 is less than 1, 3 is less than 2, 1 is more than 3, 3 is less than 1","2 is more than 1, 3 is more than 2, 1 is less than 3, 3 is more than 1",,false,4,1,2,1
,3,34,1 is more than 2,3 is more than 2,,,,"2 is less than 1, 2 is less than 3","2 is more than 1, 2 is more than 3","1 is more than 3, 3 is less than 1, 1 is less than 3, 3 is less than 1",true,4,2,1,1
,3,35,1 is more than 2,3 is less than 2,,,,"2 is less than 1, 2 is more than 3","2 is more than 1, 2 is less than 3","1 is more than 3, 3 is less than 1, 1 is less than 3, 3 is less than 1",false,4,1,2,1
,3,36,1 is more than 2,2 is less than 3,,,,"2 is less than 1, 3 is more than 2","2 is more than 1, 3 is less than 2","1 is more than 3, 3 is less than 1, 1 is less than 3, 3 is less than 1",false,4,2,1,1
,3,37,1 is less than 2,2 is less than 3,,,,"2 is more than 1, 3 is more than 2, 3 is more than 1, 1 is less than 3","2 is less than 1, 3 is less than 2, 3 is less than 1, 1 is more than 3",,true,4,1,2,1
Same as 37,3,38,1 is less than 2,2 is less than 3,,,,"2 is more than 1, 3 is more than 2, 3 is more than 1, 1 is less than 3","2 is less than 1, 3 is less than 2, 3 is less than 1, 1 is more than 3",,false,4,2,1,1
,3,39,1 is more than 2,3 is less than 2,3 is more than 4,,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",,false,4,1,2,1
Same as 39,3,40,1 is more than 2,3 is less than 2,3 is more than 4,,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",,true,4,2,1,1
,3,41,1 is less than 2,3 is more than 2,4 is more than 3,,,"2 is more than 1, 2 is less than 3, 3 is less than 4, 3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 2 is more than 3, 3 is more than 4, 3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",,false,4,1,2,1
Same as 41,3,42,1 is less than 2,3 is more than 2,4 is more than 3,,,"2 is more than 1, 2 is less than 3, 3 is less than 4, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 2 is more than 3, 3 is more than 4, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",,false,4,2,1,1
,3,43,1 is less than 2,2 is less than 3,3 is less than 4,,,"2 is more than 1, 3 is more than 2, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 3 is less than 2, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",,true,4,1,2,1
Same as 43,3,44,1 is less than 2,2 is less than 3,3 is less than 4,,,"2 is more than 1, 3 is more than 2, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 3 is less than 2, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",,false,4,2,1,1
,3,45,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1",,false,4,1,2,1
Same as 45,3,46,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1",,true,4,2,1,1
,3,47,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1",,false,4,1,2,1
Same as 47,3,48,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1",,false,4,2,1,1
,4,49,1 is before 2,2 is before 3,,,,"2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1","2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1",,true,4,1,2,1
,4,50,1 is before 2,2 is before 3,,,,"2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1","2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1",,false,4,2,1,1
,4,51,1 is after 2,2 is after 3,,,,"2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",,false,4,1,2,1
,4,52,1 is after 2,2 is after 3,,,,"2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",,true,4,2,1,1
,4,53,1 is after 2,3 is before 2,,,,"2 is before 1, 2 is after 3, 3 is before 1, 1 is after 3","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",,false,4,1,2,1
,4,54,1 is after 2,3 is before 2,,,,"2 is before 1, 2 is after 3, 3 is before 1, 1 is after 3","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",,false,4,2,1,1
,4,55,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",,true,4,1,2,1
,4,56,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",,false,4,2,1,1
,4,57,1 is after 2,2 is after 3,4 is before 3,,,"2 is before 1, 3 is before 2, 3 is after 4, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1","2 is after 1, 3 is after 2, 3 is before 4, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1",,false,4,1,2,1
