difficulty,block,statement_1,statement_2,statement_3,statement_4,statement_5,true_statements,false_statements,trial_id,n_answers,n_correct_answers,probed_truth_value,n_true_answers,n_false_answers,trial_num
1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is opposite to 1, 3 is opposite to 2, 1 is opposite to 3, 3 is opposite to 1",1,2,1,TRUE,1,1,1
1,1,1 is the same as 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1","2 is opposite to 1, 3 is the same as 2, 1 is the same as 3, 3 is the same as 1",2,2,1,TRUE,1,1,2
1,1,1 is opposite to 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is opposite to 1, 1 is the same as 3, 3 is the same as 1","3 is the same as 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1",3,2,2,FALSE,0,2,3
1,1,1 is opposite to 2,2 is opposite to 3,,,,"3 is opposite to 2, 2 is opposite to 1, 1 is the same as 3, 3 is the same as 1","3 is the same as 2, 2 is the same as 1, 1 is opposite to 3, 3 is opposite to 1",3,2,1,TRUE,1,1,4
1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is opposite to 1, 3 is opposite to 2, 1 is opposite to 3, 3 is opposite to 1",1,2,1,FALSE,1,1,5
1,1,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is opposite to 1, 3 is opposite to 2, 1 is opposite to 3, 3 is opposite to 1",1,2,2,FALSE,0,2,6
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,3,FALSE,0,3,7
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,3,TRUE,3,0,8
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,2,FALSE,1,2,9
2,1,1 is opposite to 2,2 is opposite to 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is opposite to 2, 4 is opposite to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1","2 is the same as 1, 3 is the same as 2, 4 is the same as 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1",6,3,2,TRUE,2,1,10
2,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1",5,3,1,FALSE,2,1,11
2,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 1 is the same as 4, 4 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is opposite to 4, 4 is opposite to 1",5,3,1,TRUE,1,2,12
3,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,4 is the same as 5,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 2 is opposite to 5, 5 is opposite to 2, 1 is the same as 4, 4 is the same as 1, 1 is the same as 5, 5 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 2 is the same as 5, 5 is the same as 2, 1 is opposite to 4, 4 is opposite to 1, 1 is opposite to 5, 5 is opposite to 1",7,4,2,FALSE,2,2,13
3,1,1 is the same as 2,2 is opposite to 3,3 is the same as 4,4 is opposite to 5,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 1 is opposite to 4, 4 is opposite to 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is opposite to 5, 5 is opposite to 2, 1 is opposite to 5, 5 is opposite to 1",8,4,2,TRUE,2,2,14
3,1,1 is opposite to 2,2 is the same as 3,3 is opposite to 4,4 is the same as 5,,"2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 2 is opposite to 5, 5 is opposite to 2, 1 is the same as 4, 4 is the same as 1, 1 is the same as 5, 5 is the same as 1","2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 2 is the same as 5, 5 is the same as 2, 1 is opposite to 4, 4 is opposite to 1, 1 is opposite to 5, 5 is opposite to 1",7,4,3,TRUE,3,1,15
3,1,1 is the same as 2,2 is opposite to 3,3 is the same as 4,4 is opposite to 5,,"2 is the same as 1, 3 is opposite to 2, 4 is the same as 3, 5 is opposite to 4, 1 is opposite to 3, 3 is opposite to 1, 2 is opposite to 4, 4 is opposite to 2, 3 is opposite to 5, 5 is opposite to 3, 1 is opposite to 4, 4 is opposite to 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1","2 is opposite to 1, 3 is the same as 2, 4 is opposite to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is opposite to 5, 5 is opposite to 2, 1 is opposite to 5, 5 is opposite to 1",8,4,3,FALSE,1,3,16
1,2,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",11,2,1,FALSE,1,1,17
1,2,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 is different to 3, 3 is different to 1",9,2,1,FALSE,1,1,18
1,2,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 is different to 3, 3 is different to 1",9,2,2,TRUE,2,0,19
1,2,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",11,2,1,TRUE,1,1,20
1,2,1 is the same as 2,2 is the same as 3,,,,"3 is the same as 2, 2 is the same as 1, 1 is the same as 3, 3 is the same as 1","2 is different to 1, 3 is different to 2, 1 is different to 3, 3 is different to 1",9,2,1,TRUE,1,1,21
1,2,1 is different to 2,2 is the same as 3,,,,"2 is different to 1, 3 is the same as 2, 1 is different to 3, 3 is different to 1","2 is the same as 1, 3 is different to 2, 1 is the same as 3, 3 is the same as 1",11,2,2,FALSE,0,2,22
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",12,3,2,FALSE,1,2,23
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",12,3,3,TRUE,3,0,24
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",13,3,3,TRUE,3,0,25
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",13,3,3,FALSE,0,3,26
2,2,1 is the same as 2,2 is different to 3,3 is the same as 4,,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 1 is the same as 4, 4 is the same as 1",12,3,1,FALSE,2,1,27
2,2,1 is the same as 2,2 is the same as 3,3 is different to 4,,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 3, 1 is different to 4, 4 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 3, 1 is the same as 4, 4 is the same as 1",13,3,2,TRUE,2,1,28
3,2,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",15,4,1,FALSE,3,1,29
3,2,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",14,4,2,TRUE,2,2,30
3,2,1 is the same as 2,2 is different to 3,3 is the same as 4,4 is the same as 5,,"2 is the same as 1, 3 is different to 2, 4 is the same as 3, 5 is the same as 4, 1 is different to 3, 3 is different to 1, 2 is different to 4, 4 is different to 2, 3 is the same as 5, 5 is the same as 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is the same as 2, 4 is different to 3, 5 is different to 4, 1 is the same as 3, 3 is the same as 1, 2 is the same as 4, 4 is the same as 2, 3 is different to 5, 5 is different to 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",15,4,2,FALSE,2,2,31
3,2,1 is the same as 2,2 is the same as 3,3 is different to 4,4 is the same as 5,,"2 is the same as 1, 3 is the same as 2, 4 is different to 3, 5 is the same as 4, 1 is the same as 3, 3 is the same as 1, 2 is different to 4, 4 is different to 2, 3 is different to 5, 5 is different to 3, 1 is different to 4, 4 is different to 1, 2 is different to 5, 5 is different to 2, 1 is different to 5, 5 is different to 1","2 is different to 1, 3 is different to 2, 4 is the same as 3, 5 is different to 4, 1 is different to 3, 3 is different to 1, 2 is the same as 4, 4 is the same as 2, 3 is the same as 5, 5 is the same as 3, 1 is the same as 4, 4 is the same as 1, 2 is the same as 5, 5 is the same as 2, 1 is the same as 5, 5 is the same as 1",14,4,1,TRUE,1,3,32
1,3,1 is more than 2,3 is less than 2,,,,"2 is less than 1, 2 is more than 3","2 is more than 1, 2 is less than 3",18,2,1,FALSE,1,1,33
1,3,1 is more than 2,3 is less than 2,,,,"2 is less than 1, 2 is more than 3","2 is more than 1, 2 is less than 3",18,2,2,TRUE,2,0,34
1,3,1 is more than 2,2 is less than 3,,,,"2 is less than 1, 3 is more than 2","2 is more than 1, 3 is less than 2",19,2,2,TRUE,2,0,35
1,3,1 is more than 2,3 is more than 2,,,,"2 is less than 1, 2 is less than 3","2 is more than 1, 2 is more than 3",17,2,2,FALSE,0,2,36
1,3,1 is more than 2,2 is more than 3,,,,"2 is less than 1, 3 is less than 2, 1 is more than 3, 3 is less than 1","2 is more than 1, 3 is more than 2, 1 is less than 3, 3 is more than 1",16,2,2,FALSE,0,2,37
1,3,1 is more than 2,2 is less than 3,,,,"2 is less than 1, 3 is more than 2","2 is more than 1, 3 is less than 2",19,2,2,FALSE,0,2,38
2,3,1 is less than 2,2 is less than 3,3 is less than 4,,,"2 is more than 1, 3 is more than 2, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 3 is less than 2, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",23,3,3,FALSE,0,3,39
2,3,1 is less than 2,2 is less than 3,3 is less than 4,,,"2 is more than 1, 3 is more than 2, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 3 is less than 2, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",23,3,1,TRUE,1,2,40
2,3,1 is less than 2,3 is more than 2,4 is more than 3,,,"2 is more than 1, 2 is less than 3, 3 is less than 4, 3 is more than 1, 1 is less than 3, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1","2 is less than 1, 2 is more than 3, 3 is more than 4, 3 is less than 1, 1 is more than 3, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1",22,3,3,FALSE,0,3,41
2,3,1 is more than 2,3 is less than 2,3 is more than 4,,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",21,3,3,TRUE,3,0,42
2,3,1 is more than 2,3 is less than 2,3 is more than 4,,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",21,3,2,FALSE,1,2,43
2,3,1 is more than 2,3 is less than 2,3 is more than 4,,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 1 is more than 4, 4 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 1 is less than 4, 4 is more than 1",21,3,1,FALSE,2,1,44
3,3,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1",25,4,1,FALSE,3,1,45
3,3,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1",24,4,1,FALSE,3,1,46
3,3,1 is less than 2,3 is more than 2,3 is less than 4,5 is more than 4,,"2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1","2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1",24,4,2,TRUE,2,2,47
3,3,1 is more than 2,3 is less than 2,3 is more than 4,5 is less than 4,,"2 is less than 1, 2 is more than 3, 4 is less than 3, 4 is more than 5, 1 is more than 3, 3 is less than 1, 2 is more than 4, 4 is less than 2, 3 is more than 5, 5 is less than 3, 1 is more than 4, 4 is less than 1, 2 is more than 5, 5 is less than 2, 1 is more than 5, 5 is less than 1","2 is more than 1, 2 is less than 3, 4 is more than 3, 4 is less than 5, 1 is less than 3, 3 is more than 1, 2 is less than 4, 4 is more than 2, 3 is less than 5, 5 is more than 3, 1 is less than 4, 4 is more than 1, 2 is less than 5, 5 is more than 2, 1 is less than 5, 5 is more than 1",25,4,3,FALSE,1,3,48
1,4,1 is after 2,2 is after 3,,,,"2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",27,2,2,TRUE,2,0,49
1,4,1 is before 2,2 is before 3,,,,"2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1","2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1",26,2,1,TRUE,1,1,50
1,4,1 is after 2,2 is after 3,,,,"2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",27,2,1,TRUE,1,1,51
1,4,1 is before 2,2 is before 3,,,,"2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1","2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1",26,2,1,FALSE,1,1,52
1,4,1 is after 2,2 is after 3,,,,"2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",27,2,1,FALSE,1,1,53
1,4,1 is after 2,2 is after 3,,,,"2 is before 1, 3 is before 2, 1 is after 3, 3 is before 1","2 is after 1, 3 is after 2, 1 is before 3, 3 is after 1",27,2,2,FALSE,0,2,54
2,4,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",29,3,1,FALSE,2,1,55
2,4,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",29,3,2,FALSE,1,2,56
2,4,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",29,3,2,TRUE,2,1,57
2,4,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",29,3,3,FALSE,0,3,58
2,4,1 is before 2,3 is after 2,3 is before 4,,,"2 is after 1, 2 is before 3, 4 is after 3, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1","2 is before 1, 2 is after 3, 4 is before 3, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1",29,3,3,TRUE,3,0,59
2,4,1 is after 2,2 is after 3,4 is before 3,,,"2 is before 1, 3 is before 2, 3 is after 4, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1","2 is after 1, 3 is after 2, 3 is before 4, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1",30,3,3,FALSE,0,3,60
3,4,1 is after 2,3 is before 2,3 is after 4,,,"2 is before 1, 3 is before 2, 3 is after 4, 1 is after 3, 3 is before 1, 2 is after 4, 4 is before 2, 1 is after 4, 4 is before 1","2 is after 1, 3 is after 2, 3 is before 4, 1 is before 3, 3 is after 1, 2 is before 4, 4 is after 2, 1 is before 4, 4 is after 1",31,4,3,FALSE,1,3,61
